Hunit; float; Count; Total; Proportion 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 8; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
1; 7; 71.21; 207; 719 
