Hunit; float; Proportion; Count; Total 
1; 8; 68.98; 223; 719 
1; 7; 68.98; 223; 719 
1; 6; 68.98; 223; 719 
1; 5; 68.98; 223; 719 
1; 4; 68.98; 223; 719 
1; 3; 69.12; 222; 719 
1; 2; 67.59; 233; 719 
1; 1; 66.76; 239; 719 
2; 8; 66.90; 238; 719 
2; 7; 66.90; 238; 719 
2; 6; 66.90; 238; 719 
2; 5; 66.90; 238; 719 
2; 4; 66.90; 238; 719 
2; 3; 67.04; 237; 719 
2; 2; 65.65; 247; 719 
2; 1; 63.28; 264; 719 
3; 8; 67.04; 237; 719 
3; 7; 67.04; 237; 719 
3; 6; 67.04; 237; 719 
3; 5; 67.04; 237; 719 
3; 4; 67.04; 237; 719 
3; 3; 67.04; 237; 719 
3; 2; 66.76; 239; 719 
3; 1; 47.71; 376; 719 
4; 8; 67.32; 235; 719 
4; 7; 67.32; 235; 719 
4; 6; 67.32; 235; 719 
4; 5; 67.32; 235; 719 
4; 4; 67.32; 235; 719 
4; 3; 67.32; 235; 719 
4; 2; 67.32; 235; 719 
4; 1; 45.34; 393; 719 
5; 8; 69.68; 218; 719 
5; 7; 69.68; 218; 719 
5; 6; 69.68; 218; 719 
5; 5; 69.68; 218; 719 
5; 4; 69.68; 218; 719 
5; 3; 69.54; 219; 719 
5; 2; 69.40; 220; 719 
5; 1; 60.64; 283; 719 
6; 8; 69.12; 222; 719 
6; 7; 69.12; 222; 719 
6; 6; 69.12; 222; 719 
6; 5; 69.12; 222; 719 
6; 4; 69.12; 222; 719 
6; 3; 69.12; 222; 719 
6; 2; 69.12; 222; 719 
6; 1; 61.89; 274; 719 
7; 8; 69.68; 218; 719 
7; 7; 69.68; 218; 719 
7; 6; 69.68; 218; 719 
7; 5; 69.68; 218; 719 
7; 4; 69.68; 218; 719 
7; 3; 69.68; 218; 719 
7; 2; 69.82; 217; 719 
7; 1; 67.04; 237; 719 
8; 8; 67.59; 233; 719 
8; 7; 67.59; 233; 719 
8; 6; 67.59; 233; 719 
8; 5; 67.59; 233; 719 
8; 4; 67.59; 233; 719 
8; 3; 67.73; 232; 719 
8; 2; 65.79; 246; 719 
8; 1; 65.23; 250; 719 
9; 8; 66.20; 243; 719 
9; 7; 66.20; 243; 719 
9; 6; 66.20; 243; 719 
9; 5; 66.20; 243; 719 
9; 4; 66.20; 243; 719 
9; 3; 66.06; 244; 719 
9; 2; 66.76; 239; 719 
9; 1; 65.51; 248; 719 
10; 8; 67.18; 236; 719 
10; 7; 67.18; 236; 719 
10; 6; 67.18; 236; 719 
10; 5; 67.18; 236; 719 
10; 4; 67.18; 236; 719 
10; 3; 67.18; 236; 719 
10; 2; 67.73; 232; 719 
10; 1; 65.37; 249; 719 
11; 8; 67.73; 232; 719 
11; 7; 67.73; 232; 719 
11; 6; 67.73; 232; 719 
11; 5; 67.73; 232; 719 
11; 4; 67.73; 232; 719 
11; 3; 67.59; 233; 719 
11; 2; 68.57; 226; 719 
11; 1; 51.46; 349; 719 
12; 8; 67.59; 233; 719 
12; 7; 67.59; 233; 719 
